분류번호,사규명,대장명,근거조문,양식,상태
4-7,통장관리지침,통장 반출·입 관리대장,제6조(통장관리),서식 제1호,양식등록
4-7,통장관리지침,인터넷 뱅킹 보안매체 관리대장,제7조(인터넷 뱅킹의 사용 등),서식 제2호,양식등록
4-7,통장관리지침,권한변경이력 관리대장,제8조(보안매체의 사용 및 관리),서식 제3호,양식등록
6-5,인사규정,직원인사대장,제36조(기록·관리),없음,양식없음
6-7,복지후생규정,경조금 지급 관리대장,제19조(관리),없음,양식없음
6-7,복지후생규정,장학금 관리대장,제12조·제19조,없음,양식없음
6-10,인사규정 시행지침,직원인사대장(부본),제11조(신상서류처리),없음,양식없음
6-11,복지후생규정 시행지침,개인별 임차주택 관리대장,제25조(사후관리),없음,양식없음
7-2,문서관리규정,문서발송대장,"제8조(기안), 제15조(문서의 발송)",없음,양식없음
7-2,문서관리규정,문서접수대장,제16조(문서의 접수),없음,양식없음
7-2,문서관리규정,보존문서기록대장,제22조(문서의 폐기),없음,양식없음
7-2,문서관리규정,인장관리대장,"제26조(조제등록), 제27조(인장관리), 제29조(인장폐기)",없음,양식없음
7-2,문서관리규정,인장날인대장,제28조(날인절차),없음,양식없음
7-4,전자문서관리 지침,문서발송대장,"제11조(전자문서의 발송 및 수신), 제12조(전자문서 대장 목록)",없음,양식없음
7-4,전자문서관리 지침,문서접수대장,제12조(전자문서 대장 목록),없음,양식없음
7-6,열쇠관리지침,열쇠 관리대장,"제7조(관리담당자의 임무), 제8조(관리)",서식 제1호,양식등록
7-6,열쇠관리지침,모바일카드 관리대장,"제7조, 제8조",서식 제3호,양식등록
7-6,열쇠관리지침,실물카드 관리대장,"제7조, 제8조",서식 제4호,양식등록
8-4,전산업무지침,보호구역 출입 관리 대장,제9조(운영자료의 작성),없음,양식없음
8-4,전산업무지침,작업의뢰서 접수 및 처리대장,"제9조, 제15조(수정자료 접수)",없음,양식없음
8-5,고객정보관리 지침,고객정보 관리대장,"제12조(보관 및 관리), 제13조(파기 등)",별표 제1호,양식등록
8-5,고객정보관리 지침,고객정보명세 관리대장,제12조,없음,양식없음
8-6,신용정보관리 지침,신용정보 관리대장,제26조(폐업 시 보유정보의 처리),없음,양식없음
8-7,정보보호관리 지침,업무용 PC 사용자 관리대장,"제40조(PC반출·입 관리), 제43조(PC 반납 및 폐기)",서식 제4호,양식등록
8-7,정보보호관리 지침,보조기억매체 관리대장,제51조(데이터 및 보조기억매체 관리),서식 제7호,양식등록
8-7,정보보호관리 지침,보조기억매체 점검대장,제51조,서식 제8호,양식등록
8-7,정보보호관리 지침,보조기억매체 반·출입 대장,제51조,서식 제9호,양식등록
8-7,정보보호관리 지침,정보자산 관리대장,제15조제3항(정보자산의 식별 및 관리),없음,양식없음
8-8,IT인프라 보안 지침,백업관리대장,"제20조(서버 백업), 제41조(DB 백업), 제61조(네트워크 백업)",없음,양식없음
8-9,물리보안지침,출입자 관리대장,제8조(출입 관리),별표 제1호,양식등록
8-11,개인정보보호 내부 관리계획,개인영상정보 관리대장,제30조(이용·제3자 제공의 기록 및 관리),서식 제2호,양식등록
8-11,개인정보보호 내부 관리계획,녹취정보 관리대장,제38조(녹취·STT·TA정보의 요청 및 제공),서식 제4호,양식등록
8-11,개인정보보호 내부 관리계획,생체정보 관리대장,없음,서식 제8호,근거조문없음
8-11,개인정보보호 내부 관리계획,비대면 전자계약 정보 관리대장(전자인장날인 겸용),없음,서식 제9호,근거조문없음
8-11,개인정보보호 내부 관리계획,출입 관리대장,제16조(물리적 접근제한),없음,양식없음
9-1,신용정보업무 규정,증표발급관리대장,제5조(신용정보업 종사원증의 관리),없음,양식없음
9-1,신용정보업무 규정,채권추심접수대장,제28조(채권추심업무 처리절차),없음,양식없음
9-3,공인전자문서센터 운영 규정,백업 관리 대장,"제70조(백업 매체의 관리), 제71조",별첨 제4호,양식등록
9-3,공인전자문서센터 운영 규정,센터 운영실 출입관리 대장,제10조(시스템실 출입 통제),별첨 제5호,양식등록
9-3,공인전자문서센터 운영 규정,암호화키 관리대장,"제16조(키의 생성 및 저장), 제18조(키의 파기)",별첨 제8호,양식등록
9-3,공인전자문서센터 운영 규정,시스템실 출입관리대장,제10조,없음 (별첨 제5호와 동일 추정),양식없음
9-3,공인전자문서센터 운영 규정,반출입 관리대장,제8조(자산 반·출입통제),없음 (별첨 제3호는 신청서),양식없음
9-3,공인전자문서센터 운영 규정,자산 목록 및 복구 우선순위 대장,제71조,"별첨10 인용, 파일 없음",양식없음
9-3,공인전자문서센터 운영 규정,수기문서 대장,제7조(물리적 출입 통제),없음,양식없음
9-4,전자화문서관리 규정,유색조 양식 관리대장,제20조(정형화된 양식에 의한 유색조 글자 및 이미지),별첨 제1호,양식등록
9-4,전자화문서관리 규정,유색조 인영 관리대장,제21조(도장 사용자 및 관련정보의 관리·조회 방법 등),별첨 제2호,양식등록
9-4,전자화문서관리 규정,약관 및 정형화된 양식 관리대장,제22조(약관 등 정형화된 내용),별첨 제3호,양식등록
9-4,전자화문서관리 규정,이관 대상문서 관리대장,제25조(내용검사),별첨 제4호,양식등록
9-4,전자화문서관리 규정,대상문서 압축률 관리대장,제18조(압축 알고리즘),별첨 제5호,양식등록
9-4,전자화문서관리 규정,출입대장,제6조(전자화작업장의 통제),없음,양식없음
9-7,민원서류 발급업무 처리 지침,폐기관리대장,"제16조(고객정보, 민원서류와 이미지파일의 폐기)",없음,양식없음
10-3,소셜미디어 사용 및 운영에 관한 지침,소셜미디어 관리대장,제10조(소셜미디어 관리 및 교육 등),서식 제1호,양식등록
