분류번호,분류,사규명,소관부서,시행일,경과연수,조문수,부칙수,장편제,제1조목적,보칙장,다른사규와의관계,부칙일자전부,인용수,피인용수,이사회결의대상
1-1,정관·이사회,정관,경영전략부,2025-01-03,1.7,41,14,Y,N,N,N,일부,1,23,
1-2,정관·이사회,이사회규정,경영전략부,2024-07-01,2.2,13,18,N,Y,N,N,일부,10,4,Y
2-1,조직·윤리,직제규정,경영전략부,2025-12-24,0.7,27,101,Y,Y,N,N,일부,33,11,
2-2,조직·윤리,직무전결규정,경영전략부,2026-04-30,0.3,8,14,N,Y,N,N,일부,1,9,
2-3,조직·윤리,윤리강령,감사부,2016-09-28,9.9,25,1,Y,N,N,N,Y,0,3,
2-4,조직·윤리,임직원 법규준수 행동기준,감사부,2023-08-09,3.1,30,7,Y,Y,N,N,일부,4,1,
3-1,협의회·위원회,경영협의회 규정,경영전략부,2021-09-07,5.0,9,7,N,Y,N,N,일부,1,2,Y
3-2,협의회·위원회,리스크관리협의회 규정,경영전략부,2018-03-26,8.4,10,2,N,Y,N,N,일부,0,2,Y
3-3,협의회·위원회,IT투자협의회 운영지침,IT운영부,2022-07-28,4.1,8,2,N,Y,N,N,일부,0,0,
3-4,협의회·위원회,정보보호위원회 지침,정보보호팀,2026-01-01,0.7,9,2,N,Y,N,N,일부,0,2,
3-5,협의회·위원회,ESG추진협의회 운영기준,경영전략부,2022-02-10,4.6,10,3,N,Y,N,N,Y,0,0,
3-6,협의회·위원회,채권책임심의회 운영지침,경영전략부,2025-03-05,1.5,11,2,N,Y,N,N,일부,1,0,
3-7,협의회·위원회,재무전략협의회 규정,경영전략부,2024-12-03,1.7,11,1,N,Y,N,N,Y,2,0,
3-8,협의회·위원회,AI윤리위원회 운영지침,DT개발부,2026-01-01,0.7,11,2,N,Y,N,N,Y,1,1,
4-1,재무·회계,예산규정,경영전략부,2023-05-03,3.3,26,11,Y,Y,N,N,일부,1,1,
4-2,재무·회계,내부회계관리 규정,경영전략부,2024-12-30,1.7,18,5,N,Y,N,N,일부,8,4,Y
4-3,재무·회계,회계규정,경영전략부,2023-10-30,2.8,65,25,Y,Y,Y,N,일부,4,5,
4-4,재무·회계,세무업무 처리지침,경영전략부,2010-06-04,16.2,16,2,Y,Y,기타,N,일부,1,0,
4-5,재무·회계,내부회계관리 운영지침,경영전략부,2024-12-30,1.7,25,9,Y,Y,N,N,일부,3,1,
4-6,재무·회계,회계업무 처리 규정,경영전략부,2003-02-26,23.5,2,1,N,N,N,N,Y,1,0,
4-7,재무·회계,통장관리지침,경영전략부,2025-08-07,1.1,9,6,N,Y,N,N,Y,0,0,
4-8,재무·회계,재무관리규정,경영전략부,2024-12-03,1.7,6,1,N,Y,N,N,Y,1,1,
5-1,경영관리·리스크,성과관리규정,경영전략부,2025-12-24,0.7,44,27,Y,Y,N,N,일부,4,4,
5-2,경영관리·리스크,업무제안 운영지침,경영전략부,2023-06-08,3.2,20,6,Y,Y,기타,N,일부,0,1,
5-3,경영관리·리스크,리스크관리 규정,경영전략부,2023-10-30,2.8,15,5,Y,Y,기타,N,일부,2,1,Y
5-4,경영관리·리스크,리스크관리 지침,경영전략부,2023-10-27,2.9,13,6,Y,Y,기타,N,일부,1,2,
5-5,경영관리·리스크,운영리스크관리 지침,경영전략부,2023-10-27,2.9,21,2,Y,Y,기타,N,일부,1,0,
5-6,경영관리·리스크,모회사와의 사전협의 관리 규정,경영전략부,2024-10-24,1.9,4,2,N,Y,N,N,일부,0,0,
6-1,인사·보수·복무,경영자문역 운영 규정,경영전략부,2021-01-01,5.7,13,5,N,Y,N,N,일부,0,1,
6-2,인사·보수·복무,보수 및 퇴직금 규정,경영전략부,2026-01-12,0.6,38,51,Y,Y,Y,N,일부,4,4,
6-3,인사·보수·복무,이사보수규정,경영전략부,2021-02-24,5.5,9,10,N,Y,N,N,일부,1,1,
6-4,인사·보수·복무,임원퇴직금 규정,경영전략부,2010-01-29,16.6,8,7,N,Y,N,N,일부,0,1,
6-5,인사·보수·복무,인사규정,경영전략부,2025-12-24,0.7,38,32,Y,Y,Y,N,일부,5,12,
6-6,인사·보수·복무,집행임원 운영 규정,경영전략부,2019-06-02,7.3,17,5,N,Y,N,N,일부,2,2,
6-7,인사·보수·복무,복지후생규정,경영전략부,2026-04-01,0.4,25,26,Y,Y,N,N,일부,2,5,
6-8,인사·보수·복무,여비규정,경영전략부,2025-03-05,1.5,29,10,Y,N,Y,N,일부,0,7,
6-9,인사·보수·복무,복무규정,경영전략부,2026-04-01,0.4,27,11,Y,N,N,N,일부,1,7,
6-10,인사·보수·복무,인사규정 시행지침,경영전략부,2025-03-05,1.5,46,22,Y,N,N,N,일부,3,9,
6-11,인사·보수·복무,복지후생규정 시행지침,경영전략부,2025-01-22,1.6,31,18,Y,N,N,N,일부,1,2,
6-12,인사·보수·복무,복무규정 시행지침,경영전략부,2026-04-01,0.4,32,24,Y,N,N,N,일부,2,1,
6-13,인사·보수·복무,선임직원 운영지침,경영전략부,2026-01-12,0.6,30,3,Y,Y,Y,N,Y,5,0,
6-14,인사·보수·복무,계약직원 관리지침,경영전략부,2024-09-01,2.0,34,27,Y,Y,Y,N,일부,8,1,
6-15,인사·보수·복무,촉탁직 관리지침,경영전략부,2024-09-01,2.0,30,3,Y,Y,Y,N,일부,7,1,
6-16,인사·보수·복무,연수규정,경영전략부,2025-12-29,0.7,46,1,Y,Y,Y,N,Y,3,2,
7-1,총무·계약·자산,계약규정,경영전략부,2024-12-03,1.7,120,15,Y,Y,Y,N,일부,5,4,
7-2,총무·계약·자산,문서관리규정,경영전략부,2026-06-01,0.3,32,12,Y,Y,N,N,일부,3,6,
7-3,총무·계약·자산,자산관리규정,경영전략부,2022-08-23,4.0,48,8,Y,N,N,N,일부,1,4,
7-4,총무·계약·자산,전자문서관리 지침,IT운영부,2005-12-19,20.7,13,1,Y,Y,N,N,Y,1,1,
7-5,총무·계약·자산,차량관리지침,경영전략부,2023-06-08,3.2,37,11,Y,Y,기타,N,일부,1,1,
7-6,총무·계약·자산,열쇠관리지침,경영전략부,2025-07-30,1.1,12,3,N,Y,N,N,일부,0,2,
7-7,총무·계약·자산,외부용역 및 컨설팅 운영지침,경영전략부,2024-12-19,1.7,12,2,Y,Y,N,N,일부,3,0,
8-1,IT·정보보호,전산업무규정,IT운영부,2023-06-09,3.2,39,10,Y,Y,N,N,일부,2,2,
8-2,IT·정보보호,고객정보의 제공 및 이용에 관한 규정,IT운영부 정보보호팀,2023-01-01,3.7,23,10,Y,Y,기타,N,Y,0,2,Y
8-3,IT·정보보호,정보보호규정,IT운영부 정보보호팀,2026-04-16,0.4,36,3,Y,Y,N,N,일부,6,2,
8-4,IT·정보보호,전산업무지침,IT운영부,2018-09-03,8.0,23,6,Y,Y,N,N,일부,2,1,
8-5,IT·정보보호,고객정보관리 지침,IT운영부 정보보호팀,2026-05-15,0.3,31,15,N,Y,N,N,일부,2,3,
8-6,IT·정보보호,신용정보관리 지침,IT운영부 정보보호팀,2025-03-20,1.5,41,5,Y,Y,N,N,일부,2,2,
8-7,IT·정보보호,정보보호관리 지침,IT운영부 정보보호팀,2026-07-01,0.2,89,2,Y,Y,N,N,Y,8,3,
8-8,IT·정보보호,IT인프라 보안 지침,IT운영부 정보보호팀,2026-08-01,0.1,110,2,Y,Y,N,N,Y,1,2,
